,city,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,albany,75,US,1582990460,53,42.6,-73.97,28.99,13.87
1,varzelandia,97,BR,1582990479,70,-15.7,-44.03,80.83,6.98
2,pisco,75,PE,1582990534,30,-13.7,-76.22,71.6,4.7
3,kodiak,90,US,1582990534,79,57.79,-152.41,21.2,5.82
4,bathsheba,75,BB,1582990534,61,13.22,-59.52,80.6,14.99
5,carnarvon,0,AU,1582990535,78,-24.87,113.63,77.0,18.34
6,batemans bay,51,AU,1582990535,93,-35.72,150.18,64.99,2.48
7,pangnirtung,75,CA,1582990535,67,66.15,-65.71,-22.0,2.24
8,marawi,96,PH,1582990535,84,8.0,124.29,75.99,4.0
9,talnakh,80,RU,1582990535,91,69.49,88.4,-0.4,8.95
10,hilo,40,US,1582990535,60,19.73,-155.09,72.0,8.05
11,abonnema,75,NG,1582990536,47,4.71,6.79,98.6,11.41
12,sibolga,5,ID,1582990536,93,1.74,98.78,73.87,2.57
13,parit buntar,20,MY,1582990536,66,5.13,100.49,86.0,4.7
14,rikitea,100,PF,1582990536,81,-23.12,-134.97,79.43,14.0
15,qaanaaq,98,GL,1582990536,79,77.48,-69.36,-23.66,5.7
16,rodrigues alves,75,BR,1582990537,79,-7.74,-72.65,84.2,2.24
17,yellowknife,90,CA,1582990284,76,62.46,-114.35,-4.0,9.17
18,luderitz,75,NA,1582990537,77,-26.65,15.16,69.8,12.75
19,hovd,100,MN,1582990537,67,48.01,91.64,17.33,1.83
20,mahebourg,75,MU,1582990537,100,-20.41,57.7,79.0,3.36
21,aswan,0,EG,1582990537,14,24.09,32.91,82.4,11.41
22,kapaa,40,US,1582990537,68,22.08,-159.32,71.6,23.04
23,evensk,35,RU,1582990538,74,61.95,159.23,4.55,13.47
24,siderno,40,IT,1582990538,67,38.28,16.3,60.8,9.17
25,lasa,75,IT,1582990538,88,46.62,10.7,53.6,10.29
26,portland,75,US,1582990241,81,45.52,-122.68,42.8,6.93
27,hobart,0,AU,1582990242,93,-42.88,147.33,55.4,4.7
28,torbay,75,CA,1582990513,80,47.67,-52.73,35.01,8.05
29,merauke,100,ID,1582990539,83,-8.47,140.33,79.57,0.89
30,bluff,12,NZ,1582990539,86,-46.6,168.33,48.0,3.0
31,disraeli,75,CA,1582990539,72,45.9,-71.35,12.99,8.05
32,butaritari,100,KI,1582990539,81,3.07,172.79,83.91,19.19
33,westport,20,US,1582990442,34,41.14,-73.36,36.0,14.99
34,black river,90,JM,1582990539,83,18.03,-77.85,75.2,25.28
35,parakou,0,BJ,1582990540,10,9.34,2.63,108.46,2.66
36,ushuaia,75,AR,1582990540,71,-54.8,-68.3,57.2,5.82
37,angoche,100,MZ,1582990540,92,-16.23,39.91,78.06,7.56
38,la ronge,90,CA,1582990540,92,55.1,-105.28,21.2,6.93
